neighborhood,landsize,housesize,bedroom,bathroom,parkinglot,price
Los Chillos,207,135,3,2,2,132000
Mitad del Mundo,125,80,3,2,1,58000
Ponceano,130,130,3,2,2,110000
Conocoto,193,143,3,2,2,79000
Norte de Quito,170,150,3,2,2,145000
Cumbayá,660,430,4,4,4,680000
Nayón - Tanda,364,364,4,4,3,339000
Cumbayá,220,220,3,3,2,230000
Cumbayá,500,250,4,3,2,227500
Cumbayá,250,183,3,2,2,185000
Los Chillos,400,220,3,2,4,165000
Cumbayá,305,191,4,4,2,220000
Tumbaco,243,243,3,2,2,158000
Sangolqui,164,237,3,4,2,150000
Tumbaco,120,120,3,2,2,120000
La Armenia,266,216,5,2,2,135000
Norte de Quito,560,410,4,4,3,330000
San Rafael,189,189,2,3,2,187542
Cumbayá,419,311,3,3,4,370000
Tumbaco,265,192,3,3,2,182000
El Condado,408,349,3,3,2,280000
Norte de Quito,169,169,3,3,3,148000
Cumbayá,650,400,3,3,2,445000
Cumbayá,244,244,4,3,3,227500
Norte de Quito,294,235,3,3,2,180000
Cumbayá,235,204,3,3,2,208000
Los Chillos,538,246,4,4,4,270000
Tumbaco,158,120,3,2,2,115000
Norte de Quito,130,130,4,2,1,119000
La Armenia,270,270,3,4,2,255000
Los Chillos,115,115,3,3,2,110000
San Rafael,900,340,3,3,3,250000
Sur de Quito,189,189,2,3,2,80000
Tumbaco,190,190,3,3,2,160000
El Pinar,291,291,4,3,1,145000
Tumbaco,730,342,3,3,2,420000
Calderón,140,140,3,2,2,58000
Cumbayá,160,130,3,2,2,180000
Centro Norte,165,165,2,2,2,150000
Calderón,160,143,3,2,1,90000
El Inca,181,181,3,2,2,99000
Los Chillos,480,480,3,3,4,450000
Nayón - Tanda,500,304,3,3,2,400000
Cumbayá,231,206,3,4,2,210000
Mitad del Mundo,130,116,2,2,1,69000
Norte de Quito,138,125,4,3,1,90000
San Juan de Cumbayá,381,307,3,3,2,380000
Carcelén,156,146,4,2,1,105000
Conocoto,182,182,3,2,1,119000
La Armenia,165,165,3,2,2,119990
Tumbaco,546,313,2,3,4,350000
Tumbaco,1000,518,4,6,2,680000
Norte de Quito,146,146,4,4,2,134000
Los Chillos,1000,700,3,3,2,700000
Norte de Quito,209,209,3,2,1,125000
Nayón - Tanda,244,163,4,3,2,190000
El Inca,125,125,3,2,1,97999
Tumbaco,54,122,3,2,2,150900
Los Chillos,240,240,4,4,3,270000
Tumbaco,170,132,3,2,2,120000
Quito,162,162,3,2,2,144900
Cumbayá,350,270,3,2,2,295000
Ponceano,187,163,3,2,1,110000
Los Chillos,440,440,4,3,2,420000
Mitad del Mundo,90,90,2,1,1,70000
Nayón - Tanda,428,300,3,2,2,340000
Cumbayá,282,232,3,3,2,233000
Nayón - Tanda,311,260,3,3,3,340000
Tumbaco,600,320,3,3,2,450000
Tumbaco,413,286,3,2,2,295000
Mitad del Mundo,361,361,3,4,4,170000
Norte de Quito,172,172,4,2,2,159700
La Armenia,426,426,4,2,2,215000
Calderón,117,117,3,2,2,86000
Norte de Quito,163,163,3,2,2,115000
Norte de Quito,315,284,4,3,2,215000
Los Chillos,270,270,4,4,4,300000
Tumbaco,400,196,2,2,4,225000
Carcelén,353,353,3,3,3,230000
Calderón,165,135,4,3,2,77000
Nayón,281,224,3,3,3,340000
Los Chillos,250,250,4,3,3,170000
Cumbayá,197,197,3,3,2,205000
Pomasqui,300,262,3,3,3,249700
Puembo,700,500,4,4,4,675000
Norte de Quito,144,144,4,3,2,99900
Conocoto,339,212,3,2,2,170000
La Armenia,60,43,2,1,1,40000
San Rafael,30,115,3,2,1,90000
Lumbisí,519,286,3,2,2,350000
Conocoto,292,292,4,3,2,210000
Cumbayá,367,292,3,3,2,250000
Norte de Quito,221,169,3,2,2,105000
Sur de Quito,72,54,2,1,1,35000
La Armenia,187,146,3,2,2,110000
Centro Norte,279,216,5,4,2,220000
Sur de Quito,123,123,3,2,1,76000
La Armenia,339,216,3,3,3,205000
La Armenia,142,142,3,2,2,105000
Cumbayá,293,195,3,2,2,270000
Carcelén,100,100,3,1,1,58000
Calderón,131,131,3,2,1,80000
Tumbaco,127,127,3,3,2,145000
Tumbaco,148,104,3,2,1,97000
Calderón,96,96,3,1,2,47000
Cumbayá,235,170,3,3,2,200000
Los Chillos,161,106,3,2,2,88000
Tumbaco,588,310,3,3,2,385000
Tumbaco,176,176,3,2,2,175000
Calderón,87,70,3,2,1,65000
Carcelén,198,182,3,2,2,120000
El Pinar,132,132,4,3,1,100000
Nayón - Tanda,249,249,4,4,2,240000
Tumbaco,302,208,3,2,2,245000
Amagasí,159,137,4,2,1,137000
La Armenia,214,214,3,2,2,125000
Norte de Quito,220,220,3,3,2,250000
Norte de Quito,111,111,3,2,2,74900
Tumbaco,510,420,4,5,3,445000
Tumbaco,32,122,3,2,2,152800
San Rafael,580,282,2,2,4,210000
Calderón,200,125,3,2,1,88000
Nayón - Tanda,330,300,4,3,1,365000
Ponceano,224,214,3,3,2,165000
Carcelén,165,130,3,2,1,77000
Pomasqui,258,145,4,3,4,140000
Tumbaco,310,244,3,5,2,205000
Cumbayá,562,562,3,3,4,420000
Tumbaco,140,90,3,2,1,94000
Nayón - Tanda,335,163,4,4,2,238000
Norte de Quito,220,147,4,3,2,165000
Santa Lucía Alta,202,178,3,2,2,118000
Conocoto,220,220,3,3,2,140000
Ponceano,550,477,5,5,2,230000
El Bosque,242,164,3,3,2,190000
Ponceano,147,147,3,2,2,100000
Ponceano,510,300,3,4,4,310000
Tumbaco,532,322,4,3,4,432000
Cumbayá,218,218,3,3,2,280000
Conocoto,156,118,3,2,2,109900
Cumbayá,350,270,3,3,2,360000
San Isidro - Vista Grande,252,175,5,4,2,99000
San Gabriel,329,188,4,2,3,150000
Cumbayá,500,350,4,4,2,320000
Cumbayá,197,197,3,2,2,260000
Los Chillos,360,240,4,2,3,199000
Tumbaco,714,431,3,5,4,465000
Tumbaco,482,482,3,4,4,599000
Cumbayá,408,250,3,3,2,315000
El Inca,140,120,3,1,2,98000
El Pinar,230,216,4,4,2,175000
Llano Grande,161,131,3,2,1,92000
Cumbayá,337,215,3,3,2,220000
Monteserrín,234,234,3,2,2,176900
Centro Norte,203,179,3,2,2,114000
Norte de Quito,153,149,3,2,1,116000
Sur de Quito,100,100,3,2,1,58000
Tumbaco,489,311,4,3,2,235000
Calderón,125,100,3,2,1,86900
Carapungo,92,75,3,2,1,62000
Tumbaco,190,190,4,4,2,210000
Lumbisí,336,336,3,3,2,440000
Sangolqui,119,119,4,3,2,100000
Monteserrín,210,210,3,3,2,259900
Pomasqui,141,141,3,2,1,48000
Sangolqui,135,135,4,2,1,120000
Tumbaco,140,140,3,3,2,150000
Tumbaco,387,298,3,3,2,360000
Tumbaco,251,182,3,3,2,153000
Cumbayá,586,480,4,5,2,300000
Ruta Viva,527,356,4,4,4,465000
Cumbayá,480,333,5,5,3,389000
Carcelén,160,148,3,3,2,120000
Amagasí,154,145,3,2,2,122000
Cumbayá,258,234,4,4,2,235000
Calderón,223,126,3,2,3,119900
Sur de Quito,124,124,3,1,1,46000
Los Chillos,294,180,3,3,3,160000
Cumbayá,239,191,4,3,2,190000
Vía Simón Bolivar,300,300,3,3,2,90500
Cumbayá,1060,370,3,3,2,570000
Tumbaco,200,200,3,3,2,257000
Tumbaco,293,192,3,2,2,240000
Tumbaco,420,420,4,5,2,445000
Los Chillos,527,268,4,4,3,189000
Carcelén,124,124,3,2,1,98000
Nayón - Tanda,590,590,3,3,3,650000
Conocoto,120,120,3,2,1,115000
Cumbayá,250,201,3,2,2,230000
Cumbayá,304,248,3,3,2,315000
Tumbaco,220,188,4,3,2,150000
Cumbayá,490,400,3,3,4,500000
Cumbayá,151,151,3,2,1,164900
Cumbayá,336,229,3,3,3,240000
Cumbayá,452,452,5,6,2,390000
San Rafael,140,119,3,2,2,110000
Tumbaco,291,197,3,2,2,209000
Pomasqui,300,262,3,4,3,250000
Los Chillos,209,112,3,2,2,130000
Conocoto,406,246,4,3,2,240000
Mitad del Mundo,700,680,4,4,2,350000
Miravalle,660,530,3,3,3,610000
Carcelén,161,114,3,1,1,90000
El Pinar,408,408,4,3,4,212000
Mitad del Mundo,167,148,3,2,1,82000
Mitad del Mundo,136,100,3,2,2,78000
El Inca,235,173,4,2,2,125000
La Armenia,278,204,4,2,2,145000
Los Chillos,615,180,3,2,1,199000
Nayón - Tanda,600,310,3,3,4,380000
Carcelén,506,373,3,4,3,280000
Norte de Quito,147,127,3,2,1,114900
Los Chillos,398,143,4,3,2,185000
Tumbaco,155,120,3,2,2,135000
Mitad del Mundo,368,224,3,2,3,218000
Los Chillos,350,200,3,3,2,220000
Cumbayá,223,206,3,2,2,200000
Tumbaco,258,191,3,3,2,240000
Tumbaco,452,302,3,3,4,410000
Cumbayá,303,303,3,3,2,365000
Calderón,110,102,3,2,1,72000
Cumbayá,400,340,3,4,4,390000
Cumbayá,900,500,4,5,4,690000
Tumbaco,200,170,3,3,2,185000
Tumbaco,230,230,3,3,2,240000
Conocoto,1010,480,5,5,4,450000
Sur de Quito,104,104,4,2,1,75000
La Armenia,90,90,3,2,1,85000
Tumbaco,265,191,3,3,2,179500
Centro Norte,149,96,3,2,2,87000
Los Chillos,141,141,3,2,2,119990
Monteserrín,254,220,5,4,2,162500
Tumbaco,250,200,4,3,2,330000
El Condado,305,305,4,3,4,150000
Calderón,95,95,3,1,1,68000
Norte de Quito,220,190,5,4,2,155000
Puembo,250,150,3,2,2,140000
Mitad del Mundo,158,158,4,2,1,53000
Nayón - Tanda,800,240,3,3,3,450000
Tumbaco,317,203,3,3,2,265000
Sangolqui,107,107,3,2,1,89000
Tumbaco,126,126,3,2,2,138000
Norte de Quito,180,180,3,3,2,130000
Cumbayá,257,200,3,2,1,280000
Amagasí,250,250,4,3,3,179000
Cumbayá,244,244,3,4,2,235000
Conocoto,403,365,4,4,3,325000
Carcelén,187,187,4,3,2,135000
Tumbaco,135,122,3,2,2,114000
Amagasí,181,135,3,2,1,149900
Los Chillos,295,212,3,2,3,240000
Pomasqui,155,138,3,2,2,109000
Centro Norte,153,65,3,2,2,145000
Los Chillos,158,150,4,3,1,92000
El Pinar,432,432,5,5,3,280000
Los Chillos,119,119,3,3,1,85000
Centro Norte,220,220,5,4,2,180000
Tumbaco,170,170,3,3,2,175000
Conocoto,110,82,3,2,1,75800
La Primavera,500,350,4,4,2,320000
Los Chillos,500,450,4,4,4,420000
Calderón,131,119,4,2,2,79500
Ponceano,250,180,3,3,2,122000
La Luz,192,181,4,3,2,114999
Pomasqui,611,286,3,4,3,249999
Tumbaco,245,185,3,3,2,182999
Los Chillos,281,217,3,2,2,223000
Conocoto,241,241,3,2,2,119200
Llano Grande,124,98,3,2,1,83900
Norte de Quito,154,142,3,3,2,113000
Conocoto,279,279,4,3,2,142000
San Rafael,282,193,4,2,2,170000
La Armenia,200,200,4,3,2,189000
Los Chillos,160,156,3,2,2,109000
Cumbayá,322,200,3,2,3,152000
Cumbayá,236,191,4,3,2,190000
Mitad del Mundo,624,256,4,4,3,185000
Norte de Quito,214,186,3,3,2,125000
Llano Chico,160,160,3,2,2,81999
Puembo,734,143,3,2,4,340000
Los Chillos,143,143,3,2,2,119990
Norte de Quito,227,227,4,3,2,145000
Conocoto,200,145,3,2,2,129000
Calderón,171,138,3,2,2,74900
El Inca,90,90,3,2,1,82000
Nayón,187,151,3,2,2,190000
Nayón - Tanda,581,361,4,4,4,365000
Pusuqui,245,120,2,2,2,109900
Norte de Quito,160,160,4,3,2,150000
Norte de Quito,187,187,4,3,1,105000
Los Chillos,119,95,3,2,1,82000
Tumbaco,253,242,4,3,2,165000
Tumbaco,224,224,3,3,3,235000
La Armenia,155,86,3,2,1,79990
Sangolqui,247,178,3,2,2,145000
Comité del Pueblo,186,186,3,2,2,186000
Tumbaco,161,145,3,2,2,140000
Lumbisí,450,300,3,3,3,350000
La Armenia,255,255,3,2,2,180000
Sur de Quito,82,70,2,1,1,46990
Cumbayá,249,216,3,3,2,280000
Cumbayá,275,225,3,2,2,235000
Mitad del Mundo,136,99,3,2,2,90000
Carcelén,130,116,3,2,1,70000
Calderón,182,152,3,2,1,102000
Carcelén,181,143,3,2,2,99000
Sangolqui,116,116,3,2,1,87500
Cumbayá,870,310,4,5,3,590000
Mitad del Mundo,490,278,3,2,2,165000
Los Chillos,340,340,4,3,2,250000
Cumbayá,850,350,5,5,2,320000
Tumbaco,220,160,3,2,3,185000
Conocoto,318,264,3,2,2,125000
Cumbayá,210,198,3,3,2,205000
Conocoto,115,115,3,3,2,105000
Cumbayá,256,176,3,3,2,200000
Los Chillos,750,447,3,3,4,450000
Cumbayá,503,503,4,5,4,549000
Cumbayá,259,213,3,3,2,279000
Cumbayá,400,300,4,4,2,353000
Cumbayá,1000,390,3,3,2,570000
Carcelén,130,128,4,3,1,75000
Tumbaco,301,207,3,2,2,245000
San Gabriel,245,172,4,3,2,155000
Nayón - Tanda,319,218,4,4,2,274000
Norte de Quito,166,166,3,2,1,139000
Tumbaco,330,300,4,3,2,235000
San Rafael,130,130,3,2,2,130000
Calderón,138,78,3,1,2,60000
Pomasqui,125,102,3,2,1,63000
Cumbayá,500,320,3,3,2,369000
Norte de Quito,125,95,3,2,1,90000
Cumbayá,485,400,3,5,4,460000
Mitad del Mundo,97,9,3,1,1,75000
Cumbayá,235,164,3,2,2,190000
Mitad del Mundo,630,390,4,4,3,385000
Cumbayá,264,214,3,3,3,360000
Cumbayá,230,230,3,2,2,280000
Norte de Quito,100,100,3,2,1,82000
El Inca,134,125,3,2,1,112000
Monjas,414,414,3,3,2,260000
Carcelén,175,139,3,2,2,90000
Mitad del Mundo,170,136,3,2,1,78000
Norte de Quito,180,130,3,2,2,89900
El Inca,334,309,4,3,2,169000
Sangolqui,657,370,5,3,4,350000
El Condado,226,195,4,3,2,144000
Cumbayá,420,420,3,5,3,330000
Tumbaco,550,374,5,5,2,320000
Cumbayá,264,264,4,3,2,289000
Los Chillos,517,350,3,5,4,340000
Calderón,200,163,4,2,2,155000
Norte de Quito,170,120,3,3,1,107000
Nayón - Tanda,200,200,3,2,4,256000
Norte de Quito,145,105,3,4,1,92000
Calderón,163,129,3,2,1,117900
Pomasqui,76,76,3,2,1,50000
Ruta Viva,511,308,3,3,4,369000
Tumbaco,312,232,3,2,2,300000
Tumbaco,245,170,3,2,2,198000
El Condado,215,193,4,3,2,145000
Ponceano,197,172,3,4,2,123000
Nayón - Tanda,1000,521,4,4,4,480000
Cumbayá,228,189,3,2,2,175000
Cumbayá,700,460,4,4,3,630000
Los Chillos,148,140,3,2,1,125000
Quitumbe,120,90,3,3,1,54500
El Batán,120,93,3,2,2,125000
Cumbayá,270,270,3,2,2,287000
Norte de Quito,90,90,3,2,2,78000
Tumbaco,281,187,3,2,2,209000
Los Chillos,401,267,2,2,2,139000
Los Chillos,158,141,3,3,2,120000
Tumbaco,588,310,3,1,2,385000
Cumbayá,400,400,5,5,4,460000
Conocoto,352,352,3,4,4,375000
Los Chillos,141,141,3,2,1,95000
Los Chillos,1000,344,3,5,4,318000
Tumbaco,170,170,2,2,3,199000
Tumbaco,402,225,4,3,2,215000
Norte de Quito,290,263,4,3,1,138000
Cumbayá,395,395,3,3,4,480000
San Isidro - Vista Grande,281,256,5,3,2,135000
Miravalle,248,218,3,4,2,296000
Pusuqui,176,113,3,1,2,76000
Cumbayá,298,298,4,4,2,230000
Pomasqui,176,141,4,3,2,98500
Calderón,663,190,4,2,4,124000
Sangolqui,280,190,3,3,2,158000
Amagasí,162,142,4,3,2,150000
San Isidro - Vista Grande,168,158,3,2,2,125000
Cumbayá,560,560,4,5,3,430000
Cumbayá,160,130,3,2,2,170000
La Armenia,200,168,3,2,1,100000
Amagasí,330,220,3,2,2,265500
Tumbaco,395,236,3,2,2,290000
Tumbaco,402,225,4,3,2,215000
Carcelén,388,338,5,4,3,198000
Tumbaco,177,172,3,2,2,190000
Alangasí,245,186,4,3,2,129500
Cumbayá,500,375,3,3,4,430000
Cumbayá,250,250,4,5,3,329000
Ponceano,174,124,3,3,1,98000
Cumbayá,336,229,3,3,3,235000
Tumbaco,286,206,3,2,2,215000
Sangolqui,259,167,3,2,2,139500
Calderón,210,80,2,1,2,46000
Norte de Quito,211,147,4,3,2,98900
Tumbaco,250,195,3,3,2,235000
Calderón,400,130,2,1,2,145000
Carcelén,250,220,3,2,2,138000
Cumbayá,313,158,3,3,2,205000
El Pinar,230,180,4,2,1,122500
Cumbayá,282,225,3,3,2,255000
Norte de Quito,253,241,4,3,2,229500
Los Chillos,200,116,3,2,1,125000
Cumbayá,854,574,3,3,2,330000
Cumbayá,384,384,3,3,4,520000
Tumbaco,184,170,3,2,2,130000
Monteserrín,200,200,5,4,2,245000
Cumbayá,200,176,4,3,2,175000
Norte de Quito,350,300,3,2,2,270000
Norte de Quito,119,119,3,2,1,140000
Calderón,145,117,4,2,1,55000
Los Chillos,237,120,3,2,3,115000
Conocoto,236,135,3,3,2,118000
Sangolqui,160,160,3,3,2,105000
El Batán,270,270,3,2,2,225000
Cumbayá,183,183,2,2,2,210000
Conocoto,140,120,3,2,1,110000
Norte de Quito,135,135,3,2,2,125000
San Bartolo,292,191,2,1,1,68000
Cumbayá,446,430,3,4,4,399000
Tumbaco,190,163,3,2,2,159000
Tumbaco,150,94,3,2,2,430
Amagasí,174,134,3,2,2,118900
San Rafael,268,166,4,3,2,145000
Los Chillos,145,145,3,3,2,98000
Nayón - Tanda,390,345,4,3,3,475000
La Armenia,156,117,3,2,1,89000
Centro de Quito,215,215,5,4,1,95000
El Inca,138,123,3,2,1,98000
Cumbayá,426,319,5,6,4,389000
El Inca,130,123,3,2,2,129000
La Armenia,165,165,3,2,2,95000
Norte de Quito,153,142,4,2,1,125000
Tumbaco,230,185,3,3,2,185000
Norte de Quito,410,410,3,3,2,450000
Centro Norte,133,133,3,1,1,78000
Nayón - Tanda,310,290,3,4,2,260000
Calderón,105,85,3,1,1,39000
Tumbaco,405,216,4,4,3,340000
La Viña,319,319,3,4,2,420000
Carcelén,285,285,5,3,2,130000
Sangolqui,148,148,3,2,1,113000
Cumbayá,305,260,4,3,2,220000
Tumbaco,198,186,3,2,2,158000
Tumbaco,380,380,4,4,4,680000
Los Chillos,468,175,3,2,3,199000
Cumbayá,419,374,3,3,2,320000
Mitad del Mundo,106,106,3,1,1,45900
Ponceano,311,282,5,5,2,175000
Mitad del Mundo,75,65,3,1,1,49990
Carcelén,175,143,4,2,2,85000
Los Chillos,598,489,4,4,4,374800
Monteserrín,295,245,4,4,3,255000
Puembo,290,260,3,3,2,328000
Cumbayá,983,381,3,4,3,390000
Cumbayá,317,224,3,3,2,365000
Cumbayá,285,180,3,2,2,280000
Tumbaco,236,236,3,3,2,290000
Nayón - Tanda,205,205,2,2,3,180000
Los Chillos,280,194,3,2,3,170000
Cumbayá,235,235,3,4,2,360000
Ruta Viva,531,322,4,4,4,432000
Sur de Quito,122,112,3,1,1,58000
Nayón - Tanda,500,364,4,4,3,365000
La Armenia,180,180,3,2,2,129000
La Armenia,263,209,5,4,2,172000
Conocoto,199,144,3,2,2,95000
San Rafael,618,180,3,2,2,199000
Pomasqui,150,150,3,2,2,125000
Tumbaco,380,380,3,3,3,490000
Mitad del Mundo,291,239,4,4,2,130000
Cumbayá,185,185,3,3,2,282000
Nayón - Tanda,231,231,4,4,2,249000
Norte de Quito,334,334,4,3,1,199000
Calderón,162,121,2,2,1,65000
Norte de Quito,135,135,4,2,1,59500
Los Chillos,140,140,3,2,1,125000
Cumbayá,311,311,3,3,3,350000
Tumbaco,251,182,3,3,2,153000
Centro Norte,160,150,3,2,1,107000
Conocoto,116,116,3,2,1,95000
Cumbayá,330,270,3,2,2,350000
Yaruqui,252,60,3,1,2,27000
El Batán,136,119,3,3,2,150000
Tumbaco,247,219,3,3,3,320000
Nayón - Tanda,500,425,5,6,4,565000
La Armenia,550,300,4,3,3,225000
Cumbayá,120,120,2,2,2,135000
Nayón - Tanda,540,240,4,3,3,319000
Norte de Quito,160,146,4,3,1,160000
Cumbayá,472,379,3,3,2,430000
San Carlos,119,95,3,2,1,89900
Pomasqui,368,368,4,4,3,185000
Sangolqui,165,153,2,2,1,95000
Calderón,185,185,5,3,1,116000
Cumbayá,400,400,3,5,4,460000
Conocoto,255,158,4,3,2,140000
Amagasí,156,138,4,2,1,150000
Cumbayá,175,127,3,2,2,155000
Amagasí,159,137,3,2,2,160000
La Armenia,300,180,3,2,2,129900
Cumbayá,240,190,3,2,2,225000
Nayón - Tanda,444,255,3,3,2,315000
Sur de Quito,581,581,5,2,4,145000
Nayón - Tanda,778,271,4,4,4,450000
Cumbayá,596,150,3,2,4,240000
Norte de Quito,347,347,3,4,4,485000
Pomasqui,202,173,4,2,1,126000
Alangasí,332,180,4,3,1,154900
Nayón - Tanda,260,220,3,3,2,225000
Los Chillos,240,240,4,3,3,85000
Nayón - Tanda,930,400,5,6,3,635000
Los Chillos,560,220,4,3,2,199000
Los Chillos,250,140,3,2,2,150000
Los Chillos,250,180,3,2,2,185000
Quitumbe,158,158,4,2,1,89999
Carcelén,185,165,3,2,1,90000
Norte de Quito,199,164,4,3,2,155000
Calderón,169,164,3,2,2,88000
Conocoto,200,150,4,3,1,140000
Conocoto,70,70,3,1,1,48000
Norte de Quito,108,108,3,2,1,110000
Miravalle,760,600,3,4,4,530000
Calderón,298,207,5,3,1,79000
El Condado,409,350,3,3,2,280000
Carapungo,105,98,3,3,2,67000
Carcelén,513,513,5,5,3,335000
La Armenia,184,123,3,2,2,97700
El Inca,190,223,4,3,2,129000
San Rafael,148,168,4,2,1,109500
Carcelén,400,400,4,3,3,225000
Amagasí,195,140,3,2,2,135500
El Condado,190,140,3,2,1,98000
Cumbayá,380,380,4,3,4,430000
Sangolqui,242,165,5,3,2,112000
El Condado,190,160,3,3,2,119000
Monteserrín,210,210,3,3,2,262000
Conocoto,302,302,3,4,2,249000
Nayón - Tanda,450,450,3,3,3,595000
Carcelén,167,136,3,3,1,127000
Calderón,104,80,3,1,1,49500
Cumbayá,142,252,3,3,2,170000
Tumbaco,420,420,4,5,3,445000
Centro Norte,350,350,3,3,2,360000
Sangolqui,214,107,2,2,1,69900
Tumbaco,180,180,3,2,2,135000
Los Chillos,180,180,3,2,2,128000
Carcelén,464,373,4,4,3,185000
Carcelén,102,102,3,2,1,81000
Calderón,145,145,3,2,1,78000
Amagasí,163,128,3,2,2,125000
Calderón,134,129,3,2,2,72000
Nayón - Tanda,573,220,3,3,3,269000
Quitumbe,107,86,3,2,1,86500
Cumbayá,176,138,3,2,3,125000
Calderón,600,600,3,3,3,419990
Sur de Quito,240,240,2,2,4,72000
Tumbaco,561,302,4,4,2,345000
Calderón,160,100,3,2,2,73700
Carapungo,180,128,3,3,1,80000
Amagasí,445,300,4,3,3,367000
Conocoto,196,96,3,1,2,79000
Norte de Quito,217,159,3,3,2,190000
Calderón,354,138,3,3,3,109000
Nayón - Tanda,612,479,4,4,3,575111
Cumbayá,470,367,3,3,4,430000
Cumbayá,450,450,3,3,4,460000
La Armenia,484,484,4,4,4,285000
Conocoto,241,203,4,1,2,115000
Norte de Quito,130,130,3,2,2,114000
Sangolqui,135,110,3,2,1,58500
Cumbayá,234,234,3,3,2,375000
El Condado,122,122,3,2,1,95000
San Rafael,317,288,4,4,2,199000
Norte de Quito,138,138,3,2,2,105000
Tumbaco,910,515,5,4,3,298000
Cumbayá,150,150,3,4,2,180000
Carapungo,126,100,4,2,1,56700
Norte de Quito,164,164,3,2,2,105000
Los Chillos,258,268,3,4,2,200000
Tumbaco,162,130,3,2,2,195000
Los Chillos,191,191,4,2,2,150000
Amagasí,250,160,3,3,2,138500
Cumbayá,185,124,3,2,2,160000
Los Chillos,247,173,4,2,4,125000
Carcelén,124,99,3,2,1,79000
Cumbayá,510,215,3,2,2,300000
Conocoto,378,378,4,4,4,360000
San Rafael,142,131,3,2,1,105000
Conocoto,340,340,5,5,1,150000
Sur de Quito,126,126,3,2,1,68000
El Bosque,250,250,4,2,2,220000
Pomasqui,133,83,3,2,1,70000
Sangolqui,105,105,3,2,2,79900
