features,location,price
 60 m²  43 m²  2 hab.  1 baño  1 estac. ,"La Armenia, Quito",USD 42.000
 189 m²  189 m²  2 hab.  3 baños  2 estac. ,"San Rafael, Quito",USD 187.542
 135 m²  92 m²  3 hab.  2 baños ,"Carcelén, Quito",USD 90.000
 140 m²  90 m²  3 hab.  2 baños  1 estac. ,"Tumbaco, Quito",USD 94.000
 270 m²  270 m²  7 hab.  2 baños ,"Conocoto, Quito",USD 110.000
 143 m²  143 m²  4 hab.  3 baños ,"Norte de Quito, Quito",USD 140.000
 428 m²  300 m²  3 hab.  2 baños  2 estac. ,"Nayón - Tanda, Quito",USD 340.000
 684 m²  707 m²  3 hab.  3 baños ,"Nayón - Tanda, Quito",USD 420.000
 294 m²  235 m²  3 hab.  3 baños  2 estac. ,"Norte de Quito, Quito",USD 180.000
 700 m²  500 m²  4 hab.  4 baños  4 estac. ,"Puembo, Quito",USD 675.000
 111 m²  111 m²  3 hab.  2 baños  2 estac. ,"Norte de Quito, Quito",USD 74.900
 30 m²  115 m²  3 hab.  2 baños  1 estac. ,"San Rafael, Quito",USD 90.000
 730 m²  342 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 420.000
 192 m²  4 hab.  3 baños  1 estac. ,"Los Chillos, Quito",USD 140.000
 1180 m²  870 m²  4 hab.  4 baños  4 estac. ,"Puembo, Quito",USD 1.250.000
 145 m²  145 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 125.000
 125 m²  125 m²  3 hab.  3 baños ,"Norte de Quito, Quito",USD 95.000
 54 m²  122 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 150.900
 32 m²  122 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 152.800
 161 m²  106 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 88.000
 270 m²  270 m²  3 hab.  4 baños  2 estac. ,"La Armenia, Quito",USD 255.000
 258 m²  145 m²  4 hab.  3 baños  4 estac. ,"Pomasqui, Quito",USD 140.000
 350 m²  270 m²  3 hab.  2 baños  2 estac. ,"Cumbayá, Quito",USD 295.000
 89 m²  89 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 79.000
 1103 m²  370 m²  4 hab.  5 baños ,"San Rafael, Quito",USD 470.000
 1000 m²  700 m²  3 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 700.000
 165 m²  165 m²  3 hab.  2 baños  2 estac. ,"Amagasí, Quito",USD 140.000
 243 m²  243 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 158.000
 405 m²  324 m²  5 hab.  5 baños ,"Norte de Quito, Quito",USD 280.000
 1000 m²  1000 m²  4 hab.  3 baños ,"Norte de Quito, Quito",USD 150.000
 375 m²  220 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 230.000
